	GenomeID	Taxa	Scaffold_count	GC_content	Fragmented_BGCs	Complete_BGCs	Total_BGCs
0	RDYK01	Nostocales	603	37.84751614482841	20	0	20
1	JAAHHC01	Moorea	131	43.35962862586101	17	15	32
2	CACLPT01	Synechococcaceae	46	30.307529257852188	0	0	0
3	CACNMF01	Prochlorococcus	34	31.840938028595048	0	3	3
4	QCFV01	Prochlorococcus	29	37.08378243520945	0	0	0
5	NETF01	Unicellular	208	36.999542154073744	3	5	8
6	QCIU01	Prochlorococcus	35	29.250799427157236	1	2	3
7	NMQC01	Fischerella	535	40.405871261026554	11	2	13
8	NMQH01	Fischerella	403	40.72380512709178	14	1	15
9	CACFYM01	Prochlorococcus	17	32.95554738935666	0	2	2
10	JNAM01	Prochlorococcus	17	32.33668669132237	2	2	4
11	ALVI01	Kamptonema	114	42.947296130726365	7	10	17
12	JAAHHH01	Moorea	2363	44.019143712248926	45	3	48
13	JAAHGK01	Okeania	1832	36.35289384006316	16	0	16
14	PXQA01	Cyanobacteria	226	48.03575314855305	4	3	7
15	QCFK01	Prochlorococcus	37	35.21620152969069	0	1	1
16	BDGE01	Nostoc	150	40.98911340170426	6	9	15
17	QCIH01	Prochlorococcus	51	31.92378561682019	2	2	4
18	DPNP01	Synechococcales	229	54.71986858206338	2	0	2
19	QCIC01	Prochlorococcus	50	35.53728286282206	3	0	3
20	CACKEF01	Synechococcaceae	47	32.30484609871556	0	0	0
21	CVSY01	Prochlorococcus	221	30.6152702042769	1	2	3
22	JNAP01	Prochlorococcus	10	31.188766762021395	1	3	4
23	ALVT01	Fischerella	34	41.93715178274811	4	17	21
24	CACNSV01	Prochlorococcus	82	30.67180949813317	3	1	4
25	JFKV01	Prochlorococcus	84	30.627509870712238	0	2	2
26	JAAHHU01	Moorea	1789	42.965992267025335	35	7	42
27	CACIIQ01	Synechococcaceae	47	55.86268113213828	0	0	0
28	DKRT01	Cyanobacteria	91	35.05729528827049	0	0	0
29	CACKMQ01	Prochlorococcus	39	31.948268202568798	0	0	0
30	JFLB01	Prochlorococcus	321	31.35311104020519	1	3	4
31	QCPQ01	Prochlorococcus	26	36.85183479956494	2	0	2
32	MWPC01	Prochlorococcus	358	31.04251002114147	1	0	1
33	JAACQX01	Cyanobacteria	332	32.29582126860007	5	0	5
34	QBVT01	Prochlorococcus	28	35.471641677486105	2	0	2
35	QBYW01	Prochlorococcus	36	31.58587423689661	0	1	1
36	LUPS01	Prochlorococcus	152	31.088179108732508	5	0	5
37	CACIAM01	Prochlorococcus	51	31.359420008918644	2	2	4
38	PXVC01	Synechococcus	305	50.421420248380905	9	3	12
39	JMRP01	Cyanobium	71	68.27264803146777	1	6	7
40	JFLI01	Prochlorococcus	332	31.088786543530407	0	0	0
41	QCPL01	Prochlorococcus	53	36.13237075175993	1	3	4
42	QCNJ01	Prochlorococcus	45	32.426773225593585	1	3	4
43	CACOCT01	Prochlorococcus	59	30.343250704114897	2	2	4
44	QBYA01	Synechococcus	41	47.64816346830863	8	1	9
45	CACDRN01	Prochlorococcus	42	31.99495430389429	0	1	1
46	DLGM01	Cyanobacteria	488	53.09055048395929	3	0	3
47	AFXD01	Arthrospira	63	44.82821330934865	2	1	3
48	QBVI01	Prochlorococcus	24	34.789014932874515	0	0	0
49	JFLT01	Prochlorococcus	211	29.916066240810427	1	2	3
50	QCNA01	Prochlorococcus	57	31.979653700067335	3	0	3
51	CACCHB01	Prochlorococcus	28	31.2771873324971	2	1	3
52	CACPHQ01	Prochlorococcus	67	31.999976005093014	0	0	0
53	QCPG01	Prochlorococcus	60	32.119935091589596	3	1	4
54	PVWL01	Cyanosarcina	256	44.80891406546066	10	4	14
55	QCHY01	Prochlorococcus	43	34.62857392939686	0	0	0
56	CABYNM01	Prochlorococcus	32	35.22122802800413	0	0	0
57	PWQB01	Nostocaceae	841	40.874412026558836	4	0	4
58	JAADBR01	Microcystis	279	41.97948817397846	8	3	11
59	CACKZZ01	Synechococcaceae	58	31.00175749111498	0	0	0
60	AAZV01	Leptolyngbya	96	53.114903512885654	0	0	0
61	CACHPH01	Prochlorococcus	62	31.1023028157336	1	2	3
62	DFYB01	Cyanobacteria	63	63.954851901942256	2	2	4
63	QCVT01	Prochlorococcus	56	31.79722826128543	3	0	3
64	CACFFG01	Prochlorococcus	37	31.952623834836274	0	2	2
65	QCGQ01	Prochlorococcus	25	30.910136381702976	2	2	4
66	QCHR01	Prochlorococcus	58	34.711358035499764	3	2	5
67	CACBVY01	Synechococcaceae	53	31.534838078898375	0	1	1
68	ACYB01	Raphidiopsis	47	40.1286036336586	3	5	8
69	RDXL01	Oscillatoriales	155	45.48317618578872	2	4	6
70	PVWG01	Phormidesmis	167	49.04993908334898	4	6	10
71	JAAHID01	Okeania	2450	36.47300093751857	23	0	23
72	PXPM01	Cyanobacteria	247	48.052195405403076	5	2	7
73	JAAHFQ01	Symploca	1266	42.788814747124384	28	0	28
74	DMYK01	Microcoleaceae	643	44.37034532782798	7	0	7
75	JAADBO01	Microcystis	805	42.70446458358272	12	1	13
76	QCVB01	Synechococcus	109	51.844104495264716	4	0	4
77	NHIA01	Cyanobacteria	62	59.92494923260026	2	1	3
78	QCGG01	Prochlorococcus	29	38.92722578113623	0	5	5
79	QCGL01	Prochlorococcus	41	30.97602877597954	0	4	4
80	QCHO01	Prochlorococcus	46	32.27424161321977	2	1	3
81	JAADBD01	Microcystis	326	42.70896522209343	15	2	17
82	QCVI01	Prochlorococcus	48	31.44348291552579	1	1	2
83	CACKZL01	Prochlorococcus	69	31.792732772731767	3	0	3
84	PXPP01	Cyanobacteria	268	47.919312321344144	4	2	6
85	JAAHFZ01	Moorea	204	43.2746640907519	18	16	34
86	DBXD01	Cyanobacteria	96	35.44151777004006	1	1	2
87	JFMN01	Prochlorococcus	314	31.367803485887986	0	2	2
88	ALPL01	Prochlorococcus	92	30.643971500897443	0	0	0
89	QBXP01	Prochlorococcus	24	31.97924498022041	0	0	0
90	QBWX01	Prochlorococcus	41	48.44991740961343	5	1	6
91	CABZRX01	Prochlorococcus	36	32.57225217257006	1	0	1
92	AJLN01	Chlorogloeopsis	161	42.08607190231271	13	8	21
93	JFME01	Prochlorococcus	296	31.302363633008493	1	2	3
94	ALPG01	Prochlorococcus	211	30.763784046336845	0	0	0
95	QCOP01	Prochlorococcus	57	35.92161031408996	2	0	2
96	QCQV01	Prochlorococcus	88	30.935913193800953	2	1	3
97	MNIV01	Cyanobacteria	3215	60.80150317716591	34	0	34
98	JFMS01	Prochlorococcus	351	30.782963646053474	1	0	1
99	FYBH01	Calothrix	472	39.381011240820676	24	2	26
100	DFQU01	Richelia	100	33.321459343918804	2	0	2
101	DQAX01	Synechococcus	212	59.036885388558254	3	0	3
102	CACLYD01	Synechococcaceae	49	30.98181797546993	0	0	0
103	QBWN01	Prochlorococcus	20	45.89446807980521	1	0	1
104	MWOT01	Prochlorococcus	201	31.040897812685305	0	1	1
105	QBXM01	Prochlorococcus	21	31.369497517505064	0	0	0
106	QBWE01	Prochlorococcus	20	34.13257773573568	0	2	2
107	QBXF01	Prochlorococcus	40	30.638033978987302	0	0	0
108	CABYIY01	Prochlorococcus	43	31.861258409373853	0	1	1
109	QCQK01	Prochlorococcus	52	31.864979891721756	1	3	4
110	JFMX01	Prochlorococcus	143	30.8784492686868	1	2	3
111	NHAK01	Fischerella	187	40.51751025501293	10	3	13
112	QCOM01	Prochlorococcus	80	35.84365141543642	3	0	3
113	JAADAF01	Microcystis	549	42.597908665066534	14	1	15
114	QCUK01	Synechococcus	88	54.649845446480725	1	0	1
115	QCDN01	Prochlorococcus	43	31.582663884363885	1	1	2
116	QCKM01	Prochlorococcus	31	40.46087695098874	2	3	5
117	CACIUY01	Synechococcus	19	52.134780713583645	0	0	0
118	QBMC01	Leptolyngbya	299	50.81178657871103	5	2	7
119	QBMH01	Leptolyngbya	407	48.07764847349829	7	1	8
120	CACGRX01	Prochlorococcus	48	31.65675676985333	2	2	4
121	MRCB01	Hydrococcus	68	45.460698713528615	7	7	14
122	NQLA01	Vulcanococcus	160	64.72267750338686	5	6	11
123	NHJC01	Synechococcus	45	63.15609696493482	0	2	2
124	CACNQS01	Prochlorococcus	56	31.282810953159963	0	3	3
125	QCKF01	Prochlorococcus	35	38.760751687092984	1	3	4
126	JAADAM01	Microcystis	802	42.65566605847663	18	0	18
127	QCDS01	Prochlorococcus	56	31.4423374896347	2	1	3
128	LJOT01	Anabaena	1109	39.29406406678638	10	1	11
129	QCUV01	Prochlorococcus	68	31.637586230820343	2	2	4
130	AAVW01	Nodularia	204	41.467827210562206	9	3	12
131	NGZT01	Fischerella	73	40.72902248209887	3	7	10
132	MLAW01	Roseofilum	134	44.60715247236188	1	8	9
133	CACOXH01	Prochlorococcus	50	31.8426233699357	3	2	5
134	AVFZ01	Planktothrix	446	39.11975677109992	9	3	12
135	NJIA01	Cylindrospermopsis	351	40.86822450508662	7	4	11
136	CACOIM01	Prochlorococcus	53	30.51906771384907	1	0	1
137	MTPU01	Cylindrospermopsis	58	40.96775560064943	2	5	7
138	JAADAP01	Microcystis	638	42.58089302221931	16	0	16
139	QCDX01	Prochlorococcus	65	31.626733676161837	1	2	3
140	RFIT01	Cyanobacteria	963	37.86541403963308	4	0	4
141	CACAIX01	Prochlorococcus	47	31.511702810712702	0	1	1
142	QCCL01	Prochlorococcus	36	31.362121935082616	1	2	3
143	JFNZ01	Prochlorococcus	329	30.940031350261908	1	2	3
144	QCRI01	Prochlorococcus	49	31.404261975118125	2	2	4
145	BDSG01	Microcystis	341	41.341667205661565	9	3	12
146	NHBZ02	Synechococcus	110	54.717608063928374	1	5	6
147	QCRB01	Prochlorococcus	51	31.353032193785616	1	2	3
148	QCCG01	Prochlorococcus	36	31.11569450557397	0	4	4
149	QCLD01	Prochlorococcus	89	49.7534014745972	4	5	9
150	JFNQ01	Prochlorococcus	474	30.662784055729666	1	2	3
151	CAIP01	Microcystis	449	42.19240069354396	14	1	15
152	CACBRO01	Prochlorococcus	53	31.39361293100829	1	1	2
