prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
FXWN01,WGS,,BCT,Synechococcus sp. 7002,PRJEB20275,SAMN06272774,strain: 7002,,3434434,6,3172,Yes,0,0,0,No,,,2017-05-13T00:00:00Z,2017-05-13T00:00:00Z
FYBH01,WGS,,BCT,Calothrix rhizosoleniae SC01,PRJEB19506,SAMEA94537168,isolate: 1,,5973003,472,0,No,0,0,0,No,,,2017-06-09T00:00:00Z,2017-06-09T00:00:00Z
JAAANX01,WGS,,BCT,Cyanobacteria bacterium,PRJNA598870,SAMN13763250,isolate: GSL.Bin1,"isolation_source: Microbial Mat,metagenome_source: microbial mat metagenome",4822295,210,4486,Yes,0,0,0,No,,,2020-01-20T00:00:00Z,2020-01-20T00:00:00Z
JAAAOK01,WGS,,BCT,Cyanobacteria bacterium,PRJNA598870,SAMN13763263,isolate: GSL.Bin21,"isolation_source: Microbial Mat,metagenome_source: microbial mat metagenome",3028402,432,2983,Yes,0,0,0,No,,,2020-01-20T00:00:00Z,2020-01-20T00:00:00Z
AHGV01,WGS,,BCT,Thermanaerovibrio velox DSM 12556,PRJNA65505,SAMN02261421,strain: DSM 12556,isolation_source: cyanobacterial mat of hot spring,1880738,2,0,No,1,1739,1880838,Yes,CM001377-CM001377,,2013-07-23T00:00:00Z,2011-12-12T00:00:00Z
ASAC01,WGS,,BCT,Cyanobium sp. Copco_Reservoir_LC18,PRJNA198871,SAMN03018359,strain: Copco_Reservoir_LC18,isolation_source: enriched culture of Copco Reservoir water sample,3210832,28,3148,Yes,0,0,0,No,,,2020-01-08T00:00:00Z,2020-01-08T00:00:00Z
ASAK01,WGS,,BCT,Planktothrix agardhii NIVA-CYA 126/8,PRJNA163669,SAMN02867752,strain: NIVA-CYA 126/8,isolation_source: freshwater,5045069,13,0,No,6,4191,5045869,Yes,CM002803-CM002808,,2014-08-06T00:00:00Z,2014-06-20T00:00:00Z
ASSJ01,WGS,,BCT,Rubidibacter lacunae KORDI 51-2,PRJNA196392,SAMN02470146,strain: KORDI 51-2,,4153658,99,3457,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2013-10-07T00:00:00Z
ASZQ01,WGS,,BCT,Microcystis aeruginosa SPC777,PRJNA205171,SAMN02471935,strain: SPC777,,5454996,278,5241,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2013-06-19T00:00:00Z
ATDS01,WGS,,BCT,Microcoleus sp. IPPAS B-353,PRJNA203668,SAMN02205029,strain: IPPAS B-353,,4864311,4,0,No,1,0,4866307,No,ML776472-ML776472,,2020-01-10T00:00:00Z,2020-01-09T00:00:00Z
AUSW01,WGS,,BCT,Psychrobacter aquaticus CMS 56,PRJNA210528,SAMN02469418,strain: CMS 56,isolation_source: cyanobacterial mats,3216409,38,2814,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2013-09-24T00:00:00Z
AUZM01,WGS,,BCT,Lyngbya aestuarii BL J,PRJNA208960,SAMN02469313,strain: BL J,isolation_source: marine microbial intertidal mats,6873508,439,6515,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2013-10-21T00:00:00Z
AVFS01,WGS,,BCT,Planktothrix agardhii NIVA-CYA 15,PRJNA212885,SAMN02261499,strain: NIVA-CYA 15,isolation_source: fresh water,5392702,349,0,Yes,3,0,5485894,No,KE734694-KE734696,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AVFT01,WGS,,BCT,Planktothrix agardhii NIVA-CYA 34,PRJNA212881,SAMN02261500,strain: NIVA-CYA 34,,5515411,227,0,Yes,7,0,145468,No,KE734697-KE734703,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AVFU01,WGS,,BCT,Planktothrix mougeotii NIVA-CYA 405,PRJNA212886,SAMN02261501,strain: NIVA-CYA 405,,5474504,274,0,Yes,6,0,5489619,No,KE734704-KE734709,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AVFV01,WGS,,BCT,Planktothrix prolifica NIVA-CYA 406,PRJNA212882,SAMN02261504,strain: NIVA-CYA 406,,5633860,486,0,Yes,7,0,5745633,No,KE734710-KE734716,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
AVFW01,WGS,,BCT,Planktothrix rubescens NIVA-CYA 407,PRJNA212880,SAMN02261512,strain: NIVA-CYA 407,,5402900,289,0,Yes,3,0,5505111,No,KE734717-KE734719,,2013-09-06T00:00:00Z,2013-09-06T00:00:00Z
